,cut,clarity,price,color
1,Premium,SI1,326,E
3,Premium,VS2,334,I
7,Very Good,SI1,337,H
12,Premium,SI1,342,F
19,Very Good,SI1,351,J
21,Very Good,VS2,352,E
23,Very Good,SI1,353,J
24,Very Good,SI1,353,J
27,Very Good,VS2,357,J
28,Very Good,VS2,357,D
38,Very Good,VS2,403,D
45,Premium,SI1,403,F
48,Very Good,VS2,404,E
50,Very Good,SI1,404,F
53,Premium,VS2,404,E
54,Premium,VS2,404,D
57,Very Good,SI1,405,I
58,Very Good,SI1,405,I
61,Premium,SI1,552,D
67,Very Good,SI1,553,G
68,Premium,SI1,553,G
71,Very Good,SI1,554,H
72,Premium,SI1,554,H
73,Premium,SI1,554,H
89,Premium,SI1,554,I
93,Very Good,VS2,2759,E
98,Very Good,SI1,2760,E
99,Premium,SI1,2760,H
100,Very Good,SI1,2760,D
101,Premium,SI1,2760,E
103,Premium,VS2,2760,G
106,Premium,SI1,2760,G
112,Premium,VS2,2761,I
113,Very Good,SI1,2762,G
122,Very Good,VS2,2762,F
125,Premium,VS2,2762,F
126,Premium,SI1,2763,H
131,Very Good,SI1,2764,D
133,Very Good,VS2,2765,E
140,Premium,VS2,2766,G
141,Premium,VS2,2766,G
142,Very Good,VS2,2767,D
147,Very Good,SI1,2768,D
148,Very Good,SI1,2768,D
152,Premium,VS2,2770,D
153,Premium,VS2,2770,G
154,Very Good,SI1,2770,F
157,Premium,VS2,2770,G
160,Premium,VS2,2770,G
162,Very Good,SI1,2771,F
171,Premium,VS2,2773,D
176,Very Good,VS2,2775,F
177,Very Good,VS2,2776,G
178,Premium,VS2,2776,E
187,Premium,VS2,2777,F
188,Very Good,VS2,2777,F
192,Premium,VS2,2777,E
193,Premium,SI1,2777,E
194,Premium,SI1,2777,E
195,Premium,SI1,2777,E
196,Premium,SI1,2777,E
197,Premium,SI1,2777,E
199,Premium,SI1,2777,F
200,Very Good,SI1,2777,E
201,Premium,SI1,2777,E
202,Premium,SI1,2777,E
205,Premium,SI1,2777,F
206,Very Good,SI1,2777,E
208,Very Good,VS2,2779,H
210,Very Good,VS2,2780,F
211,Premium,VS2,2780,G
225,Premium,SI1,2782,D
226,Premium,SI1,2782,D
228,Premium,SI1,2782,F
230,Very Good,VS2,2784,F
232,Very Good,VS2,2787,F
245,Premium,SI1,2789,E
246,Premium,SI1,2789,E
261,Very Good,SI1,2791,I
263,Premium,SI1,2792,E
264,Premium,SI1,2792,E
270,Very Good,SI1,2793,G
271,Very Good,VS2,2793,E
275,Very Good,SI1,2794,E
276,Very Good,VS2,2795,E
282,Premium,VS2,2795,H
283,Premium,VS2,2795,G
287,Very Good,SI1,2797,E
288,Premium,SI1,2797,D
289,Premium,SI1,2797,D
290,Premium,SI1,2797,D
299,Very Good,VS2,2797,H
310,Very Good,SI1,2800,H
317,Premium,VS2,2801,F
319,Premium,VS2,2801,F
322,Premium,VS2,2801,F
327,Premium,VS2,2802,E
329,Very Good,VS2,2803,F
330,Very Good,SI1,2803,E
334,Premium,VS2,2803,F
335,Premium,VS2,2803,F
337,Premium,VS2,2803,G
338,Premium,VS2,2803,G
339,Premium,VS2,2803,G
342,Very Good,VS2,2804,E
343,Very Good,VS2,2804,E
345,Very Good,SI1,2804,D
353,Premium,VS2,2805,F
354,Premium,VS2,2805,F
357,Premium,VS2,2805,F
361,Very Good,SI1,2806,G
367,Very Good,VS2,2808,H
370,Very Good,VS2,2808,G
372,Very Good,SI1,2808,D
373,Very Good,SI1,2809,F
375,Premium,SI1,2809,F
382,Very Good,SI1,2811,F
383,Very Good,SI1,2811,D
387,Very Good,VS2,2812,F
389,Very Good,VS2,2812,F
390,Premium,SI1,554,I
391,Premium,SI1,554,I
393,Premium,SI1,554,I
394,Very Good,SI1,554,I
396,Premium,SI1,554,H
397,Premium,SI1,554,H
398,Premium,SI1,554,H
399,Very Good,SI1,554,H
